@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5420000
@ Q2         %le              43.6090000
@ DATETIME   %08s     "11/12/2019 15:19:22"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9087358        93.6285972        -5.2990847      -176.6390896          .2203223          .2490992          .2203223          .2490992 -1.90453302173E-6 3.528210116551E-4 -1.02146498631E-5 -4.80421157491E-8 3.729575184326E-6 1.025565823458E-5 -3.52805631543E-4         -.0011981         -.0157494 1.250212142531E-6 -1.39283265012E-4         -.0157318
  MQC2LE              MONI                         2.2500008          .0000000       142.9688060       291.1407337      -106.7116076       168.5324000          .2410243          .2499778          .0207020 8.785523267680E-4         -.0013038 1.997249380422E-5 -7.92295070255E-4 5.244952515789E-5 6.312730563069E-4 -4.66196115630E-5 2.090923150335E-5 -5.56496352535E-5         -.0012612          .0019740          .0013469 -8.39440182276E-4
  MQLC2LE             MONI                         5.6754722          .0000000       173.3538827        91.5726167        12.7268302        10.0666773          .2436518          .2541906          .0026275          .0042128         -.0010002 3.400745912945E-4 2.163099099539E-4 9.313957657708E-5 6.49634949661E-16 -9.2741409318E-17 -2.2081762024E-17 -7.5658807942E-18 1.500075016481E-4 1.759195896141E-4 -1.31167384539E-4 -1.52277570526E-4
  MQLC3LE             MONI                        12.9355133          .0000000        26.9933254         7.6774363         1.1608736         3.9602896          .2616968          .2953789          .0180450          .0411883         -.0221941 9.808719329825E-4         -.0088918 -7.34799577351E-5 -9.6255695358E-17 -1.1099752621E-16 -7.4390615864E-17 5.01411959736E-18 -5.5610425585E-13 -7.6452072412E-13 5.65678894894E-13 -4.4350502736E-13
  MQLC4LE             MONI                        19.0261011          .0000000        15.0765433        42.2883848         1.7004484       -12.1016060          .3090789          .7388585          .0473821          .4434796         -.0741223         -.0011713         -.0039126 -9.41413047569E-5 -7.5009713667E-16 -6.1282558112E-17 -4.5471712488E-17 1.76015559028E-18 1.57187999924E-12 -2.1034847479E-11 4.12291510130E-13 -5.0852359143E-12
  MQLC5LE             MONI                        21.8468461          .0000000         7.5372218       138.3021279          .9723638       -21.9368282          .3517006          .7447301          .0426217          .0058716         -.0851586         -.0014369         -.0039126 -9.41413047569E-5 -9.2295960605E-16 -6.1282558112E-17 -4.0506762407E-17 1.76015559028E-18 2.73484921499E-12 -4.3093313507E-11 4.12291510130E-13 -6.2482051301E-12
  MQLC7LE             MONI                        27.2720861          .0000000         9.3764220       227.9670433        -1.0647787         2.7768696          .4721468          .7492946          .1204462          .0045644         -.1550506 7.32746753175E-14         -.0203641 -3.3385089604E-15 -1.7894190402E-15 -2.4538808203E-16 -1.0034720429E-17 6.55440000889E-18 1.38131059192E-11 -1.0100354057E-10 -2.7380754602E-13 2.05128666410E-12
  MQLY1LE1            MONI                        29.2820861          .0000000        15.7603787       199.3109730        -3.1027329        24.1097585          .4994495          .7507472          .0273027          .0014527         -.2037896 6.37403505375E-14         -.0400377 -1.0329748293E-14 -2.3734249733E-15 -4.7418508396E-16 3.13161578830E-18 6.50036400147E-18 2.45771084094E-11 -1.2309645235E-10 -3.1979193913E-12 1.60449497472E-11
  MQLY2LE1            MONI                        34.4377861          .0000000        65.6771711        28.3618351        -6.5791323         9.0475504          .5250644          .7616696          .0256150          .0109223         -.4102117 1.04497533363E-14         -.0400377 -1.0329748293E-14 -4.8181810107E-15 -4.7418508396E-16 3.66455424707E-17 6.50036400147E-18 8.08959540355E-12 -8.2081031959E-11 -3.1979193913E-12 3.25324627531E-11
  MQLY3LE             MONI                        41.6978296          .0000000         5.4763095         1.8734863          .6651134         -.0310241          .5874587         1.0380527          .0623943          .2763832         -.2085581 -9.2494072414E-13         -.0226158 -1.3857496974E-13 -1.2286080620E-15 2.71704450193E-16 1.29225816893E-16 -1.4497283285E-17 2.90542834106E-12 1.20971689748E-11 4.31527202516E-13 2.03281703914E-12
  MQLY2LE2            MONI                        48.0578731          .0000000         6.3722923        28.3794939          .4501620        -9.0490864          .8077634         1.2376681          .2203047          .1996154         -.4102117 -2.2584717995E-12          .0400377 -5.9647943210E-13 4.67218562177E-16 1.92812800640E-16 4.12914147200E-17 -5.0062745773E-18 4.25733950569E-12 -1.1097523257E-11 1.14091187059E-12 -2.8128717812E-12
  MQLY1LE2            MONI                        53.2135731          .0000000         6.7471828       199.3221823         -.5228758       -24.1069717          .9517619         1.2485868          .1439984          .0109186         -.2037896 -5.3337149967E-12          .0400377 -5.9647943210E-13 1.46130351844E-15 1.92812800640E-16 1.54805648818E-17 -5.0062745773E-18 1.01395388369E-11 -7.7876266681E-11 1.14091187059E-12 -8.6950711124E-12
  MQLB1LE             MONI                        55.2235731          .0000000        12.5617526       227.9626232        -1.9840866        -2.7726728          .9879476         1.2500394          .0361857          .0014526         -.1550506 -5.6092428160E-12          .0203641 -2.2548553961E-14 2.10770884776E-15 3.53940805339E-16 3.17218390728E-18 -6.3937821083E-18 1.96991390011E-11 -1.1782722425E-10 8.46538432539E-14 -4.7186816571E-13
  MQLB2LE             MONI                        60.0235180          .0000000        79.8695705        35.0676153       -10.6298044        12.5749176         1.0136916         1.2580613          .0257441          .0080219         -.1570511 -1.9914406412E-12         -.0025574 8.33591445025E-13 5.35259817453E-15 7.09891579265E-16 -2.7732618653E-17 -6.4365121470E-18 1.40814781852E-11 -1.0618948070E-10 -5.8785557492E-12 4.43788574478E-11
  MQLB3LE             MONI                        68.9853633          .0000000         2.3055551         4.5852967         -.4171011          .7201932         1.1670333         1.6717843          .1533416          .4137230          .0592509 4.78546622478E-13          .0338404 -1.4648115120E-13 4.93738541285E-16 -2.4173307601E-16 -9.8579608595E-17 5.54186184977E-17 3.60190657361E-12 6.32100589570E-12 -1.1303954663E-12 -1.7951925382E-12
  MQLB4LE             MONI                        77.1787307          .0000000        35.3516862        18.1118897         4.2598365        -5.8434664         1.3202075         1.9465966          .1531743          .2748123          .3038899 -7.9025335064E-13         -.0386291 -3.0119477896E-13 -1.3475448770E-15 6.91806012416E-17 3.89939608258E-16 1.33373056144E-16 2.55732454488E-12 3.76568942343E-11 9.43327538934E-13 1.41561641198E-11
  MQLX1LE1            MONI                        81.6354595          .0000000         8.1391574       108.7404037         1.8461057       -14.4917430         1.3625201         1.9626066          .0423126          .0160100          .1317303 -2.1331912147E-12         -.0386291 -3.0119477896E-13 -1.0392256966E-15 6.91806012416E-17 9.84347153447E-16 1.33373056144E-16 6.76116674132E-12 7.06142577644E-11 9.43249846192E-13 9.95232192333E-12
  MQLX2LE             MONI                        88.4954617          .0000000        16.1644457         1.7958373         2.9894592        -2.4817826         1.4656066         2.3834408          .1030864          .4208341          .1676280 -4.2178389178E-14         -.0219402 -1.2738381120E-13 -2.3184736748E-15 3.89057602395E-16 -9.6567396464E-17 -1.8203928689E-16 -1.4988219973E-12 -8.4160726163E-12 -4.2834380921E-12 -2.4507236718E-11
  MQLX1LE2            MONI                        94.4554638          .0000000         2.9712288       132.4461102        -1.4587228        19.0742072         1.7542564         2.4384161          .2886499          .0549753          .1432525 -2.6555368227E-12          .0432179 3.57568483218E-13 -2.8024190313E-17 3.32794664125E-16 -1.0340399895E-15 1.45713801725E-16 -2.2087716496E-11 4.86361883982E-12 2.99455601910E-12 -6.9026845345E-13
  MQLA2LE             MONI                        98.9121927          .0000000        36.8830724        17.1404258        -6.1504105         6.7980612         1.8242478         2.4533248          .0699914          .0149088          .3358630 -1.0626004598E-12          .0432179 3.57568483218E-13 1.45515138558E-15 3.32794664125E-16 -3.8463308766E-16 1.45713801725E-16 -8.7417589288E-12 4.07470631340E-11 2.99463371185E-12 -1.4036226021E-11
  MQLA3LE             MONI                       105.2001788          .0000000         7.6135467         2.4869200         -.5113720         -.0411786         1.8854148         2.7560256          .0611670          .3027008          .0611143 -2.6317896492E-13         -.0295044 2.04187141231E-13 1.17925596642E-15 2.30577676636E-16 5.42810023019E-18 6.16358561998E-17 -1.2506603177E-12 6.46866645326E-12 9.67737904707E-13 -5.5480683663E-12
  MQLA4LE             MONI                       109.4681120          .0000000        14.9966662        10.1752582        -1.2185331        -1.7602409         1.9508086         2.9172503          .0653937          .1612247         -.0648085 6.08015060878E-13         -.0295044 2.04187141231E-13 2.16334609272E-15 2.30577676636E-16 2.68485818556E-16 6.16358561998E-17 2.87958043576E-12 -2.9499975850E-11 9.67737904707E-13 -9.6783091198E-12
  MQLA5LE             MONI                       119.0986538          .0000000        10.0415611       234.1217208        -3.1555303        14.3138633         2.3120774         2.9492600          .3612688          .0320097         -.0765095 2.11606136404E-12         -.0020196 -1.1940664543E-13 -6.1461760595E-16 -3.7226604750E-16 1.41001062689E-15 -8.4202042695E-17 -3.4780040568E-11 6.62386946151E-11 1.97997328308E-12 -3.7903847434E-12
  MQLA6LE             MONI                       129.6316140          .0000000       155.0224280        39.1608818        20.2637108        -2.2043083         2.3501493         2.9688597          .0380719          .0195997         -.0861757 9.77018262366E-13          .0171694 7.65849419708E-14 -4.0206558954E-15 4.84959203321E-16 5.95873805623E-16 3.65947580143E-17 2.13858964166E-11 1.74398510758E-10 1.61477302334E-12 1.31999563863E-11
  MQLA7LE             MONI                       133.7436466          .0000000        33.2688915        59.8190339         9.3453775        -2.8195216         2.3592672         2.9823977          .0091180          .0135380         -.0155745 1.29178756147E-12          .0171694 7.65849419708E-14 -2.0264878423E-15 4.84959203321E-16 7.46352643515E-16 3.65947580143E-17 2.80258957279E-11 1.13433764882E-10 1.61477302334E-12 6.55995707507E-12
  MQLA8LE             MONI                       143.1554475          .0000000        11.4708735         4.8146044          .3930074         -.3349338         2.7845560         3.0809346          .4252887          .0985369          .3878994 1.29137678910E-12         -.0392206 8.82955582630E-14 2.55238480313E-16 1.68292938634E-16 1.86384639437E-16 -8.4910517666E-18 2.65822703392E-12 -8.0514985198E-12 1.89755370616E-13 -3.1933214910E-13
  MQLA9LE             MONI                       151.6672485          .0000000        15.2267566        21.2866661        -3.3369631         2.5689705         2.9121500         3.2149532          .1275940          .1340186          .4203962 2.52687021232E-13          .1036760 -3.4319663733E-14 1.79917721507E-15 4.75991739933E-16 9.89285542550E-17 -3.2469579404E-17 1.21070977521E-11 -4.6345760587E-11 -2.1257106173E-12 8.19326270451E-12
  MQLA10LE            MONI                       155.1316133          .0000000        47.9128068         7.7717675        -6.0979702         1.3321484         2.9326197         3.2583569          .0204697          .0434037          .7795675 1.33903674231E-13          .1036760 -3.4319663733E-14 3.44818622292E-15 4.75991739933E-16 -1.3557912268E-17 -3.2469579404E-17 4.74286080857E-12 -3.4392309866E-11 -2.1257106173E-12 1.55574996481E-11
  MQF4E1              MONI                       159.7521773          .0000000        29.1572007         9.9679438         2.7076472         -.7784462         2.9504309         3.3563309          .0178112          .0979740          .6229429 6.62276749084E-14         -.0544983 -1.1818642048E-14 2.82808283699E-15 -2.2562592859E-16 -1.8937068892E-16 -3.8982231757E-17 1.22354508697E-12 1.37668932780E-11 7.12705411184E-13 8.57401706793E-12
  MQD3E1              MONI                       164.5639584          .0000000         7.4403316        20.9498176          .2028379         1.7084092         3.0072166         3.4064553          .0567857          .0501243          .3120997 1.53996284085E-14         -.0170657 -1.3836028687E-14 1.52898766923E-15 -4.0113856102E-17 -3.6932974297E-16 1.83098821860E-17 1.18620754106E-12 2.70846977936E-11 -1.4520052747E-14 2.40839713185E-13
  MQF2E1              MONI                       175.0138628          .0000000        15.5592220         6.6593999         1.9371573        -1.4349155         3.1826449         3.6098399          .1754283          .2033846          .3463386 1.27987466194E-12         -.0289960 2.34523461890E-13 1.00545272614E-15 -2.5248332091E-16 -1.9365314115E-16 -1.7836968765E-17 5.08168377856E-12 1.89129389659E-11 9.66857364789E-13 3.74960894340E-12
  MQD1E1              MONI                       180.1536167          .0000000         5.3422016        23.8161932         -.7948460         3.1527643         3.2953521         3.6665139          .1127072          .0566740          .2379008 2.08746581255E-12          .0289960 -3.3222397121E-13 -3.0741420023E-16 -2.8248923671E-16 -2.3836116077E-16 4.87548486956E-17 9.85708777153E-12 -1.2099558153E-11 -1.5673841322E-12 2.00189635398E-12
  MQF2E2              MONI                       183.8933706          .0000000        15.5592214         6.6593999        -1.9371572         1.4349155         3.3626215         3.7144993          .0672694          .0479854          .3463386 8.44847588335E-13          .0289960 -3.3222397121E-13 -1.3638544259E-15 -2.8248923671E-16 -5.6030025061E-17 4.87548486956E-17 3.99545684524E-12 -1.9554983782E-11 -1.5673841322E-12 7.86352728027E-12
  MQD3E2              MONI                       194.3432750          .0000000         7.4403317        20.9498176         -.2028380        -1.7084092         3.5380498         3.9178839          .1754283          .2033846          .3120997 5.28767530899E-13          .0170657 8.08721880831E-14 -1.4932696159E-15 9.96478600738E-30 3.86126428098E-16 4.20005523310E-17 4.52457491665E-13 2.94495346106E-11 4.89791349169E-14 4.68826836262E-12
  MQF4E2              MONI                       199.1550562          .0000000        29.1572016         9.9679438        -2.7076473          .7784462         3.5948355         3.9680083          .0567857          .0501243          .6229429 5.15884994443E-13          .0544983 4.29714304480E-16 -2.5604766184E-15 -1.8309545442E-16 3.00301890046E-16 -1.7237694513E-17 -3.2896603673E-12 4.88651727684E-11 -4.5565635769E-14 4.70488176980E-13
  MQEAE3              MONI                       203.7756202          .0000000        48.5050158         7.6858431         5.6463305        -1.2526734         3.6126335         4.0660716          .0177980          .0980633          .7843883 5.75716352130E-13         -.0957384 9.76172922193E-14 -3.0523815623E-15 4.05046627285E-16 2.46637295975E-16 2.61465790170E-17 9.01564337986E-12 6.69042455019E-11 1.58631815416E-12 1.18509103154E-11
  MQD5E3              MONI                       209.5270192          .0000000         7.6607159        26.9249766          .5245026         2.0631561         3.6656563         4.1251276          .0530228          .0590561          .2666596 1.02386624598E-12         -.0420985 -9.1067725304E-14 -8.3288001644E-16 2.27056109609E-16 3.56914167540E-16 -4.0562233312E-17 9.42692929906E-12 3.19641785516E-11 -8.2791376802E-13 -2.7316871475E-12
  MQF6E2              MONI                       216.8388196          .0000000         8.8850271         7.1496356         -.6920158          .6371258         3.8388812         4.2134352          .1732249          .0883075          .1637333 3.41362568744E-13          .0136586 -7.5838684670E-14 8.16806041041E-16 2.25514051877E-16 5.97467462165E-17 -4.0671136147E-17 3.35736390866E-12 -1.2601986419E-11 -8.3125129734E-13 3.33225847158E-12
  MQD5E4              MONI                       225.0506200          .0000000         7.6607158        26.9249766         -.5245026        -2.0631561         4.0277459         4.3224758          .1888647          .1090406          .2666596 3.39823659090E-14          .0420985 8.33887948938E-14 1.51154777994E-15 7.63278329430E-17 -2.2054348885E-16 -3.3728417795E-17 4.20475220209E-13 -2.9733315428E-12 -7.2500527415E-14 2.20645444543E-12
  MQEAE4              MONI                       230.8020191          .0000000        48.5050156         7.6858431        -5.6463305         1.2526734         4.0807687         4.3815318          .0530228          .0590561          .7843883 4.38275821951E-13          .0957384 6.86160031682E-14 3.42311636918E-15 3.62630780562E-16 -1.9759638019E-16 8.40933505262E-18 -2.4364464424E-12 2.39561094203E-11 -6.1188882283E-13 5.72402661356E-12
  MQF4E3              MONI                       235.4225831          .0000000        29.1572016         9.9679438         2.7076473         -.7784462         4.0985667         4.4795952          .0177980          .0980633          .6229429 1.11583954873E-12         -.0544983 1.58558258299E-13 2.48699462765E-15 -2.8705266740E-16 -3.0401215186E-16 -2.7748351202E-17 6.08514418729E-12 5.09312755092E-11 9.22914464620E-13 7.83614448337E-12
  MQD3E3              MONI                       240.2343642          .0000000         7.4403318        20.9498176          .2028379         1.7084092         4.1553524         4.5297195          .0567857          .0501243          .3120997 1.85790455375E-12         -.0170657 -1.2860187841E-13 8.88587067249E-16 -1.8726305596E-16 -4.3699247467E-16 3.95246491312E-17 7.09286614744E-12 2.97368053519E-11 -4.7503575934E-13 -1.8958807785E-12
  MQF2E3              MONI                       250.6842686          .0000000        15.5592215         6.6593999         1.9371573        -1.4349155         4.3307807         4.7331041          .1754283          .2033846          .3463386 3.87735832275E-13         -.0289960 3.26131563112E-15 -9.8381103956E-16 -2.2935969828E-18 -2.7156922012E-17 3.15613295557E-17 1.69426228126E-14 -1.2043296857E-11 6.32168486936E-14 4.77447363099E-13
  MQD1E2              MONI                       255.8240225          .0000000         5.3422015        23.8161932         -.7948461         3.1527643         4.4434879         4.7897781          .1127072          .0566740          .2379008 3.34654143073E-13          .0289960 -9.4807562981E-14 -1.1778197977E-15 -2.6680431099E-16 1.16120932479E-16 3.92215443442E-18 2.72613186344E-12 -1.1027131238E-11 -7.9153295031E-13 3.48397167990E-12
  MQF2E4              MONI                       259.5637764          .0000000        15.5592216         6.6593999        -1.9371573         1.4349155         4.5107573         4.8377635          .0672694          .0479854          .3463386 -1.9917478536E-14          .0289960 -9.4807562981E-14 -2.1756022611E-15 -2.6680431099E-16 1.30788824834E-16 3.92215443442E-18 -2.3400657707E-13 2.87719246101E-12 -7.9153295031E-13 6.44411012040E-12
  MQD3E4              MONI                       270.0136808          .0000000         7.4403318        20.9498176         -.2028379        -1.7084092         4.6861856         5.0411482          .1754283          .2033846          .3120997 2.23126925314E-12          .0170657 2.07472858299E-13 -6.4124811009E-16 1.66533453694E-16 4.30020949643E-16 2.96917506484E-17 6.50310922775E-12 2.07187581810E-11 5.98508702322E-13 2.01131943139E-12
  MQF4E4              MONI                       274.8254620          .0000000        29.1572014         9.9679438        -2.7076473          .7784462         4.7429713         5.0912725          .0567857          .0501243          .6229429 1.57779841796E-12          .0544983 -1.3585111193E-13 -2.4282128193E-16 7.97585387032E-17 2.57969754887E-16 -3.6773500173E-17 2.50398688211E-12 2.25781599407E-12 -2.3864831315E-13 5.61735719142E-14
  MQEAE5              MONI                       279.4460260          .0000000        48.5050152         7.6858431         5.6463304        -1.2526734         4.7607693         5.1893358          .0177980          .0980633          .7843883 1.06696044507E-12         -.0957384 5.79831197336E-14 1.18126441188E-16 6.57953882017E-17 1.00762126549E-16 -1.6063113479E-17 9.42044931421E-13 -4.1151379894E-12 1.07438354155E-13 2.52657122785E-13
  MQD5E5              MONI                       285.1974250          .0000000         7.6607157        26.9249766          .5245026         2.0631561         4.8137921         5.2483919          .0530228          .0590561          .2666596 1.25654897851E-12         -.0420985 -1.8090265737E-13 5.45811582692E-16 1.49780868091E-16 6.30665296659E-18 -1.9198340468E-17 3.16444917117E-12 -1.1462572158E-11 -4.3698969102E-13 1.79783702397E-12
  MQF6E3              MONI                       292.5092254          .0000000         8.8850271         7.1496356         -.6920158          .6371258         4.9870170         5.3366994          .1732249          .0883075          .1637333 3.40542668784E-14          .0136586 7.93845493498E-15 1.63835076680E-15 1.49186218934E-16 -1.3403329191E-16 -1.9165253106E-17 -3.5725536928E-14 1.96153633380E-12 -4.3780868831E-13 5.00022930710E-12
  MQD5E6              MONI                       300.7210258          .0000000         7.6607159        26.9249766         -.5245025        -2.0631561         5.1758817         5.4457400          .1888647          .1090406          .2666596 1.99266859532E-12          .0420985 2.34169730453E-13 7.37466593384E-16 -1.2490009027E-16 -4.7453100658E-16 -4.2662026972E-17 4.13854188638E-12 1.80371352762E-11 4.73068776793E-13 2.22613934422E-12
  MQEAE6              MONI                       306.4724249          .0000000        48.5050156         7.6858431        -5.6463304         1.2526734         5.2289045         5.5047961          .0530228          .0590561          .7843883 1.41698132830E-12          .0957384 -1.3908711570E-13 6.47993469889E-16 -2.9503242743E-18 -2.6914253879E-16 4.48371450653E-17 7.27393431578E-13 7.93079859908E-12 -1.1962800026E-13 -3.6923646296E-13
  MQF4E5              MONI                       311.0929889          .0000000        29.1572014         9.9679438         2.7076473         -.7784462         5.2467025         5.6028594          .0177980          .0980633          .6229429 1.78155601181E-12         -.0544983 1.11403198674E-13 1.70316020860E-16 -1.1820345164E-16 -2.4523068990E-16 -6.8549737428E-19 2.74599741026E-12 5.80589973614E-13 1.95996406717E-13 2.88895132775E-13
  MQD3E5              MONI                       315.9047700          .0000000         7.4403316        20.9498176          .2028380         1.7084092         5.3034882         5.6529838          .0567857          .0501243          .3120997 2.33163388984E-12         -.0170657 -2.4651680170E-13 -4.4610259164E-16 -1.8179776915E-16 -2.5537400937E-16 3.81926849142E-17 6.11688228461E-12 -1.7249346681E-11 -6.3855680055E-13 1.91178944842E-12
