@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5415814
@ Q2         %le              43.6091163
@ DATETIME   %08s     "11/11/2019 14:52:43"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9209535        93.1466708        -5.3298059      -175.7094404          .2216727          .2514445          .2216727          .2514445 9.027313292641E-4 3.546956394822E-4          .0017310 3.213163179159E-6 3.640546360792E-6 1.008409842549E-5 -3.52877666103E-4         -.0011981         -.0159482 8.009980233279E-4 -5.39792487997E-4         -.0142078
  MQC2LE              MONI                         2.2500008          .0000000       143.9223399       289.5437313      -107.4157520       167.6906216          .2422674          .2523278          .0205946 8.832898388262E-4          .0052345 2.335915915581E-5          .0040944 5.053363728603E-5 6.308814613765E-4 -4.69486839918E-5 2.090531128859E-5 -5.56598299820E-5         -.0039462          .0060061          .0028502         -.0031048
  MQLC2LE             MONI                         5.6754722          .0000000       174.4422665        90.6152532        12.8206550        10.0512215          .2448783          .2565755          .0026109          .0042477          .0062151 3.422706554912E-4 -3.08444211999E-4 9.300325640025E-5 -5.19790090659E-7 9.103501794082E-9 -6.80142088003E-8 -1.86950182948E-8 4.880703208818E-4          .0025145 -1.58289578510E-4 -2.76567510639E-4
  MQLC3LE             MONI                        12.9355133          .0000000        27.0564342         7.2641979         1.1802495         3.8188807          .2628494          .2991837          .0179711          .0426082         -.0193373 9.771867442997E-4         -.0090160 -7.28853224015E-5 4.153943520120E-6 1.790790294285E-6 -1.96277908670E-7 1.471352477905E-8 1.348089470459E-4 2.343230119150E-4 -6.31662796228E-5 4.910346853762E-5
  MQLC4LE             MONI                        19.0261011          .0000000        14.9635396        42.6088425         1.7026960       -12.0983204          .3103679          .7412215          .0475185          .4420378         -.0721088         -.0011723         -.0041837 -9.36280675182E-5 1.462406218104E-5 8.095863050393E-7 2.343610818705E-7 1.885138145133E-8 -1.19280987083E-4          .0020522 -4.22571868366E-5 5.474495829409E-4
  MQLC5LE             MONI                        21.8468461          .0000000         7.4300231       138.4052160          .9675240       -21.8562605          .3534784          .7470699          .0431104          .0058485         -.0839145         -.0014365         -.0041837 -9.36279709795E-5 1.690815552172E-5 8.095863050393E-7 2.875466589578E-7 1.885138145133E-8 -2.38501579685E-4          .0042696 -4.22571868366E-5 6.666701755431E-4
  MQLC7LE             MONI                        27.2720861          .0000000         9.2872739       226.8891738        -1.0685719         2.8608354          .4757722          .7516443          .1222938          .0045744         -.1547108 3.377104541228E-6         -.0204974 2.904390249219E-7 3.097711184799E-5 4.086233332765E-6 1.40772810874E-10 -2.3747869139E-12         -.0014013          .0103380 1.421235848645E-5 -1.20139454123E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        15.6822727       198.2053008        -3.1003332        24.0009006          .5032782          .7531050          .0275060          .0014606         -.2036511 3.820781514064E-6         -.0400997 -1.06478819148E-7 4.074523846726E-5 8.013928856272E-6 1.30401006999E-10 -1.6438191330E-11         -.0025487          .0128138 3.032837078803E-4         -.0015332
  MQLY2LE1            MONI                        34.4377861          .0000000        65.6519499        28.0909346        -6.5898511         8.9878969          .5289676          .7641128          .0256894          .0110078         -.4104757 3.312488413542E-6         -.0400997 -1.19014731229E-7 8.207091660850E-5 8.013928856272E-6 4.56336704904E-11 -1.6438191330E-11 -9.84778483760E-4          .0099859 3.032837078803E-4         -.0030971
  MQLY3LE             MONI                        41.6978296          .0000000         5.5206016         1.9095590          .6614127         -.0543447          .5911230         1.0445040          .0621554          .2803912         -.2087917 1.449554502232E-6         -.0226637 2.429587904757E-5 4.173539192584E-5 4.527778526111E-6 -1.5470497253E-11 -5.2201973384E-12 -2.40186815519E-5 1.655038638804E-4 -7.63000287939E-5 -3.66718042894E-4
  MQLY2LE2            MONI                        48.0578731          .0000000         6.3481710        28.3540444          .4598233        -9.0107538          .8098274         1.2399917          .2187044          .1954877         -.4107740 1.928366489573E-4          .0401156 6.439973430374E-5 8.209797102286E-5 -8.01537484366E-6 -5.3150227653E-11 -1.5327100417E-11 -3.61876360718E-4          .0010871 -1.25379256761E-4 3.174157694434E-4
  MQLY1LE2            MONI                        53.2135731          .0000000         6.6803959       198.3715744         -.5242487       -23.9592651          .9552713         1.2509436          .1454439          .0109519         -.2038671 5.248871669546E-4          .0401156 6.439455094936E-5 4.076483631315E-5 -8.01537484366E-6 -1.3218796682E-10 -1.5327100417E-11         -.0010084          .0079241 -1.25379256761E-4 9.639629130173E-4
  MQLB1LE             MONI                        55.2235731          .0000000        12.4838308       226.8223699        -1.9785927        -2.7982960          .9917591         1.2524038          .0364878          .0014602         -.1549302 5.631698078441E-4          .0204914 7.859097732308E-6 3.099700866404E-5 -4.08569323766E-6 -1.4010115800E-10 -1.1255891900E-12         -.0020160          .0121676 -2.89491744844E-5 1.641004845796E-4
  MQLB2LE             MONI                        60.0235180          .0000000        79.5931752        35.0112300       -10.6002283        12.5186170         1.0176349         1.2604538          .0258758          .0080500         -.1561977 2.250830003204E-4         -.0024018 -7.84836479075E-5 3.132240322198E-5 4.956110547923E-7 -5.2256632392E-11 2.02967951287E-11         -.0016261          .0122712 5.670658180953E-4         -.0042924
  MQLB3LE             MONI                        68.9853633          .0000000         2.3205132         4.4418424         -.4215362          .6838808         1.1706877         1.6725458          .1530528          .4120920          .0599184 -1.77348246308E-5          .0340757 -1.83538342550E-6 -1.19169903986E-5 -6.79140920884E-6 2.63921716244E-11 -5.7173120745E-12 -2.04402119231E-4 -1.52369044804E-4 1.954582924160E-5 -9.02283861854E-5
  MQLB4LE             MONI                        77.1787307          .0000000        35.3413439        18.6046355         4.2659762        -5.9790729         1.3232004         1.9444630          .1525127          .2719171          .3063205 -3.61333968689E-5         -.0389785 -9.37250058157E-6 -6.10196113576E-5 7.760622355916E-6 -2.2307169644E-11 -9.9337974357E-12 -1.83853391428E-4 -5.10492165030E-4 -7.08593605348E-5 -3.13261564595E-4
  MQLX1LE1            MONI                        81.6354595          .0000000         8.1046207       111.1548512         1.8444607       -14.7833161         1.3656205         1.9600888          .0424201          .0156259          .1325463 -7.78934920338E-5         -.0389756 -9.36964662185E-6 -2.64268669427E-5 7.760333394405E-6 -6.6587194792E-11 -9.9335311313E-12 -4.99691900440E-4 3.205768308582E-4 -7.08543753072E-5 2.588026444427E-6
  MQLX2LE             MONI                        88.4954617          .0000000        16.0520832         1.8703813         2.9663396        -2.5833392         1.4694102         2.3835593          .1037897          .4234705          .1674305 -2.54333918662E-6         -.0220407 8.915353427509E-7 -3.35046745695E-5 4.397859235254E-6 4.71392531158E-13 1.01523187160E-11 -1.48528135950E-4         -.0010137 -1.26763292838E-4         -.0010093
  MQLX1LE2            MONI                        94.4554638          .0000000         2.9884753       136.6269197        -1.4621167        19.7078535         1.7575314         2.4365304          .2881212          .0529711          .1423384 -1.05079541271E-4          .0428747 1.658588077526E-5 -2.85593351316E-5 -8.60953171306E-6 5.34309740083E-11 -6.6661582381E-12 -2.22413472678E-4         -.0016962 4.394961240285E-5 2.388574636695E-4
  MQLA2LE             MONI                        98.9121927          .0000000        36.8870627        17.5589054        -6.1428514         7.0034060         1.8273177         2.4510350          .0697863          .0145046          .3334973 -3.11467881970E-5          .0428781 1.658798828048E-5 -6.69375083399E-5 -8.60987898500E-6 2.37156457509E-11 -6.6664502133E-12 -2.64968100862E-5 -5.13298353976E-4 4.394942710447E-5 4.295291154046E-5
  MQLA3LE             MONI                       105.2001788          .0000000         7.5665238         2.5059316         -.5019855         -.0871549         1.8886937         2.7605174          .0613760          .3094823          .0603311 3.002035040755E-5         -.0294181 1.388120721428E-6 -1.21453119921E-5 5.892172849447E-6 1.39744591669E-11 -5.5412468844E-12 1.409222954216E-4 -7.36518018907E-4 2.705989797463E-5 1.057995115935E-5
  MQLA4LE             MONI                       109.4681120          .0000000        14.8674425        10.5770224        -1.2083173        -1.8035675         1.9546186         2.9161077          .0659249          .1555903         -.0652735 3.593951446814E-5         -.0294181 1.387439963066E-6 1.300711874689E-5 5.892172849447E-6 -9.6799433819E-12 -5.5412468844E-12 2.564352355548E-4         -.0017860 2.705989797463E-5 -1.04932988978E-4
  MQLA5LE             MONI                       119.0986538          .0000000        10.0616277       240.3228751        -3.1527750        14.7357884         2.3152177         2.9470889          .3605992          .0309812         -.0750925 2.917490421637E-5         -.0016430 -2.48298144083E-6 1.516093932383E-5 3.665443378789E-7 -8.3212802383E-11 4.33866491452E-12 -3.42105240359E-4         -.0014741 3.077784703693E-5 7.000278094998E-5
  MQLA6LE             MONI                       129.6316140          .0000000       154.6920456        39.7338976        20.2317307        -2.1872908         2.3532991         2.9662964          .0380814          .0192075         -.0814110 3.610997705485E-6          .0165220 -1.53184025210E-6 1.676199675769E-5 -3.36956991753E-6 -4.2573588718E-11 -4.1055324525E-12 -1.43643380009E-4 -5.21213075573E-4 -4.11773974255E-5 -2.98539697503E-4
  MQLA7LE             MONI                       133.7436466          .0000000        33.1405078        60.1883947         9.3223218        -2.7860175         2.3624463         2.9796975          .0091472          .0134011         -.0134446 -2.69356110111E-6          .0165220 -1.53241102540E-6 2.903443702947E-6 -3.36956991753E-6 -5.9459049089E-11 -4.1055324525E-12 -3.13000051883E-4 -4.61739732294E-4 -4.11773974255E-5 -1.29183025628E-4
  MQLA8LE             MONI                       143.1554475          .0000000        11.5768084         4.5927267          .4090232         -.2983305         2.7879347         3.0806216          .4254884          .1009241          .3864921 -2.39923913209E-5         -.0391918 -1.43387255152E-5 -7.74399772991E-5 7.841239346072E-6 -2.6562054198E-11 -3.5531592640E-12 3.833489073591E-6 6.577995349269E-4 -3.22823925518E-5 4.844427371811E-5
  MQLA9LE             MONI                       151.6672485          .0000000        15.0380855        20.9869293        -3.2869499         2.4835239         2.9158349         3.2203429          .1279001          .1397214          .4190957 -8.17098363221E-6          .1034515 -1.83762358480E-6 -8.39501081816E-5 -2.07129215249E-5 -5.0076302993E-11 7.46131781999E-12 -8.46486248279E-4          .0033450 8.388947249353E-5 -3.56802607120E-4
  MQLA10LE            MONI                       155.1316133          .0000000        47.2415439         7.8765732        -6.0068226         1.3000656         2.9365842         3.2637730          .0207493          .0434301          .7776331 -1.45783802455E-5          .1034515 -1.83160150965E-6 -1.55721577810E-4 -2.07129215249E-5 -2.4222405721E-11 7.46131781999E-12 -5.55804379957E-4          .0040345 8.388947249353E-5 -6.47484475567E-4
  MQF4E1              MONI                       159.7521773          .0000000        28.7182994        10.4930400         2.6695380         -.8247210         2.9546624         3.3582133          .0180782          .0944403          .6214597 -3.55069560120E-5         -.0543370 -4.93708632098E-6 -1.24441342100E-4 1.088366616538E-5 -5.5725625552E-12 3.53951502138E-12 2.358087492752E-4          .0033511 -2.75605624826E-7 8.692414858738E-5
  MQD3E1              MONI                       164.5639584          .0000000         7.3402800        21.9146957          .1922736         1.8132037         3.0123194         3.4059137          .0576570          .0477004          .3113850 -5.86556885249E-5         -.0169909 4.126767726390E-6 -6.23488010820E-5 3.405759078882E-6 1.01134750936E-11 1.90130940724E-12 -5.65277223004E-5          .0024071 -2.21657981821E-6 -2.84558466775E-4
