@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5422163
@ Q2         %le              43.6089455
@ DATETIME   %08s     "11/11/2019 14:52:52"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.9033008        93.8967363        -5.2848643      -177.1555438          .2196290          .2479611          .2196290          .2479611 -4.54714069529E-4 3.529519329775E-4 -8.69416834790E-4 3.348379043967E-7 3.706182216651E-6 1.021162242762E-5 -3.52770723123E-4         -.0011981         -.0156486 -4.06474030476E-4 6.401795075412E-5         -.0165088
  MQC2LE              MONI                         2.2500008          .0000000       142.5213299       292.0249566      -106.3811901       169.0023017          .2403806          .2488371          .0207516 8.759468966547E-4         -.0045422 2.015571367795E-5         -.0032117 5.231931498708E-5 6.309805856682E-4 -4.68199432185E-5 2.091124382281E-5 -5.56441587744E-5 1.061059730811E-4 -7.93747336324E-5 5.819766991016E-4 3.133924920942E-4
  MQLC2LE             MONI                         5.6754722          .0000000       172.8438714        92.0817557        12.6826697        10.0769638          .2430159          .2530314          .0026353          .0041943         -.0045719 3.400211975489E-4 4.766697310523E-4 9.308941916365E-5 -2.78797673319E-7 3.466432614470E-8 3.402875783861E-8 9.281908176610E-9 -2.26861065222E-5         -.0010187 -1.17515634474E-4 -9.00211848249E-5
  MQLC3LE             MONI                        12.9355133          .0000000        26.9654691         7.8925435         1.1516100         4.0332533          .2610951          .2935231          .0180792          .0404917         -.0236047 9.830579022594E-4         -.0088291 -7.39488213442E-5 -2.29003677759E-6 -8.86048724526E-7 9.806130830866E-8 -7.34427556818E-9 -7.06959541792E-5 -1.17192508588E-4 3.230691041128E-5 -2.50932468251E-5
  MQLC4LE             MONI                        19.0261011          .0000000        15.1327644        42.1379460         1.6995305       -12.1062701          .3084069          .7377141          .0473118          .4441911         -.0751089         -.0011716         -.0037779 -9.46123732387E-5 -7.46165696666E-6 -3.84516268370E-7 -1.17115820929E-7 -9.40927557155E-9 6.008326264973E-5         -.0010356 2.155550615335E-5 -2.78974173458E-4
  MQLC5LE             MONI                        21.8468461          .0000000         7.5899000       138.2859654          .9748051       -21.9831758          .3507916          .7435960          .0423847          .0058818         -.0857632         -.0014384         -.0037779 -9.46123498638E-5 -8.54617085670E-6 -3.84516268370E-7 -1.43654334099E-7 -9.40927557155E-9 1.208797692036E-4         -.0021633 2.155550615335E-5 -3.39770680012E-4
  MQLC7LE             MONI                        27.2720861          .0000000         9.4205662       228.5712296        -1.0630540         2.7350400          .4703504          .7481542          .1195588          .0045582         -.1551987 -3.39876131668E-6         -.0202956 -1.27743027902E-7 -1.55125875351E-5 -2.03299642522E-6 2.72549949846E-11 -3.7788115721E-13 7.127093419962E-4         -.0052570 -6.81337339784E-6 5.805755368181E-5
  MQLY1LE1            MONI                        29.2820861          .0000000        15.8000888       199.9223401        -3.1043350        24.1709432          .4975527          .7496025          .0272023          .0014483         -.2038323 -3.50194066410E-6         -.0400022 2.434778211836E-7 -2.03812396848E-5 -4.00201712395E-6 2.53880467378E-11 -3.1259520254E-12          .0012997         -.0065228 -1.54503878041E-4 7.797110244732E-4
  MQLY2LE1            MONI                        34.4377861          .0000000        65.6983068        28.5069519        -6.5748953         9.0801245          .5231284          .7604792          .0255757          .0108767         -.4100303 -2.23637166719E-6         -.0400022 2.402905493019E-7 -4.10123762572E-5 -4.00201712395E-6 9.27318736649E-12 -3.1259520254E-12 5.031635667999E-4         -.0050972 -1.54503878041E-4          .0015762
  MQLY3LE             MONI                        41.6978296          .0000000         5.4557933         1.8558428          .6670257         -.0190489          .5856291         1.0348009          .0625007          .2743217         -.2084317 -4.64919378023E-8         -.0225955 -1.23936758252E-5 -2.08495441411E-5 -2.26054430816E-6 -1.5982709231E-12 -1.1737160665E-12 1.022215887801E-5 -9.33232981329E-5 3.890982931555E-5 1.885600018595E-4
