@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5435915
@ Q2         %le              43.6086671
@ DATETIME   %08s     "10/09/2019 18:50:43"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                 Y               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQC1LE              MONI                          .5300002          .0000000         2.8830615        95.8581927        -5.2208099      -180.9251750          .2151847          .2416238          .2151847          .2416238         -.0031874 3.689991867893E-4         -.0058854 3.140462338566E-5 2.611321509392E-6 -3.52576200384E-4         -.0150193         -.0029808          .0013351         -.0214177
  MQC2LE              MONI                         2.2500008          .0000000       140.3834198       298.4462398      -104.8039464       172.4574550          .2361527          .2424812          .0209680 8.574368440700E-4         -.0236166 4.812783968373E-5         -.0174487 3.598744984040E-5 6.225054455659E-4 2.092512329507E-5          .0087165         -.0130121         -.0042270          .0075620
  MQLC2LE             MONI                         5.6754722          .0000000       170.4281842        95.5461802        12.4684154        10.1706347          .2388256          .2465512          .0026730          .0040700         -.0255824 3.548383902710E-4          .0020165 9.113867866673E-5 -9.35776494004E-6 2.390544212089E-7         -.0011183         -.0085978 -3.39281049805E-5 2.865506626361E-4
  MQLC3LE             MONI                        12.9355133          .0000000        26.8753057         9.3115924         1.1033137         4.5042533          .2570520          .2830534          .0182264          .0365022         -.0318523          .0010017         -.0084448 -7.92806983656E-5 -1.89444641635E-5 6.853599824625E-7 -5.46321695543E-4 -8.24163568933E-4 2.378432350716E-4 -1.84354264915E-4
  MQLC4LE             MONI                        19.0261011          .0000000        15.4748942        41.3503697         1.6987955       -12.1716701          .3038747          .7313699          .0468227          .4483164         -.0807717         -.0011830         -.0029794 -1.00551627990E-4 -5.42462380375E-5 -8.19417192422E-7 4.286288249531E-4         -.0074158 1.578460853428E-4         -.0020386
  MQLC5LE             MONI                        21.8468461          .0000000         7.8930514       138.6277829          .9909727       -22.3388962          .3449205          .7372966          .0410458          .0059267         -.0891631         -.0014663         -.0029794 -1.00550556038E-4 -6.10421120371E-5 -1.00475630646E-6 8.735609284823E-4         -.0156246 1.578460853428E-4         -.0024836
  MQLC7LE             MONI                        27.2720861          .0000000         9.6653602       233.0400116        -1.0531525         2.4834310          .4597140          .7418028          .1147935          .0045062         -.1557913 -4.84139080714E-5         -.0198561 -6.94891933831E-7 -1.08834461313E-4 5.63905990532E-10          .0051880         -.0382518 -4.34235898216E-5 3.773651844087E-4
  MQLY1LE1            MONI                        29.2820861          .0000000        16.0230116       204.3532106        -3.1147948        24.6248583          .4863702          .7432202          .0266562          .0014174         -.2037235 -4.74757428941E-5         -.0397263 4.430380093621E-6 -1.42678770460E-4 5.41377943332E-10          .0095097         -.0475636         -.0011281          .0056736
  MQLY2LE1            MONI                        34.4377861          .0000000        65.8475154        29.5089962        -6.5559349         9.3116790          .5117215          .7537872          .0253513          .0105671         -.4082535 -2.41180905554E-5         -.0397263 4.268183148558E-6 -2.86555936344E-4 2.42918372854E-10          .0036976         -.0373831         -.0011281          .0114857
  MQLY3LE             MONI                        41.6978296          .0000000         5.3512593         1.7575868          .6776249          .0584847          .5747484         1.0147796          .0630269          .2609924         -.2075312 1.030192406620E-5         -.0225238 -9.08529878590E-5 -1.45650783339E-4 1.30432507233E-10 4.346088999923E-5 -8.26492249806E-4 2.849375837541E-4          .0014040
  MQLY2LE2            MONI                        48.0578731          .0000000         6.4445562        28.5971810          .4209328        -9.2320370          .7999081         1.2303250          .2251597          .2155454         -.4084950 -7.06801477870E-4          .0397392 -2.38792720881E-4 -2.86526538494E-4 -1.5664800946E-10          .0013664         -.0037430 4.781040942753E-4         -.0010927
  MQLY1LE2            MONI                        53.2135731          .0000000         6.9558149       203.7654698         -.5201660       -24.7674018          .9396574         1.2410749          .1397493          .0107500         -.2038987         -.0019376          .0397392 -2.38861457168E-4 -1.42657445802E-4 -5.2045251192E-10          .0038296         -.0291031 4.781040942753E-4         -.0035559
