@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5420000
@ Q2         %le              43.6090000
@ DATETIME   %08s     "11/12/2019 15:19:22"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  QC1LPE435           MULT                          .4300001          .0100000         1.9488769        61.6328636        -4.2994736      -143.3173115          .2136357          .2488897 -1.04635519997E-6 2.379605339525E-4 -7.15559391773E-6 -2.95057459386E-8 2.079225689045E-6 7.148527716693E-6 -2.37953307559E-4         -.0010703 -1.00825391524E-8 1.960851516081E-7 1.523804608850E-6          .2136357          .2488897
  QC1LPE445           MULT                          .4400001          .0100000         2.0358662        64.5325378        -4.3994401      -146.6495853          .2144347          .2489149 -1.11862974290E-6 2.487592740187E-4 -7.46168417144E-6 -3.13938090080E-8 2.221179710540E-6 7.463379760513E-6 -2.48751405992E-4         -.0010895 -7.92804214436E-9 3.370723635656E-7 4.502034790185E-6          .2144347          .2489149
  QC1LPE455           MULT                          .4500001          .0100000         2.1248547        67.4988575        -4.4994052      -149.9818318          .2151999          .2489391 -1.19395689558E-6 2.597455507513E-4 -7.77019054323E-6 -3.32958898164E-8 2.368684352144E-6 7.778190891851E-6 -2.59737002104E-4         -.0011078 -6.69801161845E-9 4.313469693509E-7 7.442400639140E-6          .2151999          .2489391
  QC1LPE465           MULT                          .4600001          .0100000         2.2158426        70.5318221        -4.5993690      -153.3140502          .2159334          .2489621 -1.27232663540E-6 2.709097248095E-4 -8.08040608946E-6 -3.52149471273E-8 2.521649377828E-6 8.093126872689E-6 -2.70900456203E-4         -.0011250 -6.31342412844E-9 5.299369438637E-7 1.041711434193E-5          .2159334          .2489621
  QC1LPE475           MULT                          .4700001          .0100000         2.3088298        73.6314312        -4.6993315      -156.6462434          .2166371          .2489842 -1.35372914725E-6 2.822406168379E-4 -8.39151988988E-6 -3.71400306404E-8 2.679957179376E-6 8.408184203883E-6 -2.82230588791E-4         -.0011411 -6.37165704288E-9 6.344816564195E-7 1.343520276718E-5          .2166371          .2489842
  QC1LPE485           MULT                          .4800001          .0100000         2.4038162        76.7976842        -4.7992929      -159.9784147          .2173126          .2490054 -1.43815115814E-6 2.937252208834E-4 -8.70260232072E-6 -3.90586028797E-8 2.843453783496E-6 8.722758481415E-6 -2.93714393998E-4         -.0011558 -6.89454161772E-9 7.461259074388E-7 1.650830049135E-5          .2173126          .2490054
  QC1LPE495           MULT                          .4900001          .0100000         2.5008018        80.0305808        -4.8992531      -163.3105676          .2179618          .2490257 -1.52557235393E-6 3.053483664397E-4 -9.01259301949E-6 -4.09580182002E-8 3.011938879399E-6 9.035991602470E-6 -3.05336701741E-4         -.0011688 -7.97770791272E-9 8.662224928497E-7 1.965202329401E-5          .2179618          .2490257
  QC1LPE505           MULT                          .5000001          .0100000         2.5997865        83.3301206        -4.9992123      -166.6427060          .2185860          .2490452 -1.61596387040E-6 3.170923121441E-4 -9.32028416090E-6 -4.28253834083E-8 3.185156534154E-6 9.346896305672E-6 -3.17079771516E-4         -.0011799 -9.75316679689E-9 9.964089953749E-7 2.288712777143E-5          .2185860          .2490452
  QC1LPE515           MULT                          .5100001          .0100000         2.7007705        86.6963033        -5.0991706      -169.9748345          .2191866          .2490639 -1.70928752198E-6 3.289362271369E-4 -9.62429299511E-6 -4.46441896214E-8 3.362784587884E-6 9.654477954997E-6 -3.28922773850E-4         -.0011888 -1.23915166815E-8 1.138670080676E-6 2.624112335160E-5          .2191866          .2490639
  QC1LPE525           MULT                          .5200001          .0100000         2.8037536        90.1291289        -5.1991280      -173.3069597          .2197650          .2490819 -1.80549592002E-6 3.408555201686E-4 -9.92302708378E-6 -4.63920317755E-8 3.544422241035E-6 9.957747047254E-6 -3.40841119489E-4         -.0011950 -1.61129390938E-8 1.295410697202E-6 2.975082276704E-5          .2197650          .2490819
  MQC1LE              MONI                          .5300002          .0000000         2.9087358        93.6285972        -5.2990847      -176.6390896          .2203223          .2490992 -1.90453302173E-6 3.528210116551E-4 -1.02146498631E-5 -4.80421157491E-8 3.729575184326E-6 1.025565823458E-5 -3.52805631543E-4         -.0011981          .0000000          .0000000          .0000000          .2203223          .2490992
  QC1LPE535           MULT                          .5300002          .0100000         2.9087358        93.6285972        -5.2990847      -176.6390896          .2203223          .2490992 -1.90453302173E-6 3.528210116551E-4 -1.02146498631E-5 -4.80421157491E-8 3.729575184326E-6 1.025565823458E-5 -3.52805631543E-4         -.0011981 -2.12035174326E-8 1.469539268983E-6 3.346580040761E-5          .2203223          .2490992
  QC1LPE545           MULT                          .5400002          .0100000         3.0157171        97.1947085        -5.3990408      -179.9712332          .2208596          .2491159 -2.00633424493E-6 3.647979541022E-4 -1.04970493288E-5 -4.95655821949E-8 3.917637353007E-6 1.054707074165E-5 -3.64781566058E-4         -.0011973 -2.80379669082E-8 1.664557503724E-6 3.745322144513E-5          .2208596          .2491159
  QC1LPE555           MULT                          .5500002          .0100000         3.1246975       100.8274630        -5.4989965      -183.3033992          .2213781          .2491320 -2.11082593180E-6 3.767448800238E-4 -1.07678110412E-5 -5.09356828978E-8 4.107868665940E-6 1.083073556843E-5 -3.76727460155E-4         -.0011920 -3.71113406432E-8 1.884647091922E-6 4.180459364438E-5          .2213781          .2491320
  QC1LPE565           MULT                          .5600002          .0100000         3.2356770       104.5268613        -5.5989521      -186.6355964          .2218786          .2491475 -2.21792561562E-6 3.886121835619E-4 -1.10241976217E-5 -5.21263049485E-8 4.299368648208E-6 1.110535608887E-5 -3.88593713922E-4         -.0011814 -4.90836522703E-8 2.134731792041E-6 4.664518745025E-5          .2218786          .2491475
  QC1LPE575           MULT                          .5700002          .0100000         3.3486555       108.2929039        -5.6989078      -189.9678354          .2223622          .2491624 -2.32754536252E-6 4.003403187745E-4 -1.12631392868E-5 -5.31069813840E-8 4.491046280516E-6 1.136975751253E-5 -4.00320788941E-4         -.0011642 -6.48433124515E-8 2.420470587786E-6 5.214723258517E-5          .2223622          .2491624
  QC1LPE585           MULT                          .5800002          .0100000         3.4636331       112.1255918        -5.7988639      -193.3001274          .2228295          .2491769 -2.43959908917E-6 4.118576010244E-4 -1.14812468048E-5 -5.38464322723E-8 4.681586805069E-6 1.162320689467E-5 -4.11837009916E-4         -.0011392 -8.55982680550E-8 2.748096725226E-6 5.854774049677E-5          .2228295          .2491769
  QC1LPE595           MULT                          .5900002          .0100000         3.5806097       116.0249260        -5.8988206      -196.6324848          .2232814          .2491908 -2.55401456875E-6 4.230776526396E-4 -1.16748640001E-5 -5.43112173472E-8 4.869417190786E-6 1.186603242754E-5 -4.23056010539E-4         -.0011048 -1.13008351023E-7 3.123934164198E-6 6.617274464339E-5          .2232814          .2491908
  QC1LPE601           MULT                          .6000002          .0000000         3.6995854       119.9909079        -5.9987779      -199.9649236          .2237187          .2492043 -2.67075226932E-6 4.338965209994E-4 -1.18401888423E-5 -5.44576603990E-8 5.052673552265E-6 1.210048143906E-5 -4.33873851661E-4         -.0010590          .0000000 1.776639635418E-6 3.773413299281E-5          .2237187          .2492043
  QC1LE605            MULT                          .6000002          .0100000         3.6995854       119.9909079        -5.9987747      -199.9650277          .2237187          .2492043 -2.67075226957E-6 4.338965210399E-4 -1.18401865316E-5 -5.40811334902E-8 5.052673552265E-6 1.207802497399E-5 -4.33873851661E-4         -.0010590 -1.49379607624E-7 6.77501389097E-25 1.90881765210E-25          .2237187          .2492043
  QC1LPE609           MULT                          .6100002          .0000000         3.8205601       124.0235394        -6.0987387      -203.2973557          .2241420          .2492174 -2.78992328339E-6 4.441896382575E-4 -1.19737693815E-5 -5.46162173467E-8 5.229221847565E-6 1.235501496975E-5 -4.44165978244E-4 -9.99593074565E-4          .0000000 1.776639635418E-6 3.773413299281E-5          .2241420          .2492174
  QC1LPE611           MULT                          .6100002          .0000000         3.8205601       124.0235394        -6.0987355      -203.2974625          .2241420          .2492174 -2.78992300187E-6 4.441896383050E-4 -1.19737663537E-5 -5.42337289911E-8 5.229221706658E-6 1.233202547722E-5 -4.44165978246E-4 -9.99593587518E-4          .0000000 2.019023360178E-6 4.351815401132E-5          .2241420          .2492174
  QC1LE615            MULT                          .6100002          .0100000         3.8205601       124.0235395        -6.0987316      -203.2975875          .2241420          .2492174 -2.78992300221E-6 4.441896383592E-4 -1.19737635502E-5 -5.37858505256E-8 5.229221706658E-6 1.230679937974E-5 -4.44165978246E-4 -9.99594179902E-4 -1.97952380743E-7 7.95583722261E-11 2.37984455741E-11          .2241420          .2492174
  QC1LPE619           MULT                          .6200002          .0000000         3.9435339       128.1228223        -6.1986966      -206.6299899          .2245521          .2492300 -2.91158361492E-6 4.538090665918E-4 -1.20723243073E-5 -5.40538216354E-8 5.396531573711E-6 1.259668934594E-5 -4.53784471645E-4 -9.24204496378E-4          .0000000 2.019023360178E-6 4.351815401132E-5          .2245521          .2492300
  QC1LPE621           MULT                          .6200002          .0000000         3.9435339       128.1228223        -6.1986927      -206.6301184          .2245521          .2492300 -2.91158329510E-6 4.538090666549E-4 -1.20723207482E-5 -5.35988485253E-8 5.396531413601E-6 1.257091663685E-5 -4.53784471647E-4 -9.24205098359E-4          .0000000 2.286025960328E-6 5.083401090674E-5          .2245521          .2492300
  QC1LE625            MULT                          .6200002          .0100000         3.9435339       128.1228224        -6.1986879      -206.6302751          .2245521          .2492300 -2.91158329552E-6 4.538090667211E-4 -1.20723171996E-5 -5.30438603984E-8 5.396531413601E-6 1.254502353243E-5 -4.53784471647E-4 -9.24205810530E-4 -2.63335792688E-7 9.60608550700E-11 3.36663979738E-11          .2245521          .2492300
  QC1LPE629           MULT                          .6300002          .0000000         4.0685066       132.2887587        -6.2986531      -209.9627467          .2249494          .2492422 -3.03601998353E-6 4.625817729726E-4 -1.21339369875E-5 -5.30787853484E-8 5.551827820403E-6 1.286294366883E-5 -4.62556316842E-4 -8.30229638501E-4          .0000000 2.286025960328E-6 5.083401090674E-5          .2249494          .2492422
  QC1LPE631           MULT                          .6300002          .0000000         4.0685066       132.2887588        -6.2986482      -209.9629079          .2249494          .2492422 -3.03601963331E-6 4.625817730487E-4 -1.21339326739E-5 -5.25151594585E-8 5.551827645041E-6 1.283654972011E-5 -4.62556316843E-4 -8.30230361195E-4          .0000000 2.565893170116E-6 6.017429392958E-5          .2249494          .2492422
  QC1LE635            MULT                          .6300002          .0100000         4.0685066       132.2887588        -6.2986417      -209.9631190          .2249494          .2492422 -3.03601963376E-6 4.625817731163E-4 -1.21339278406E-5 -5.17767940574E-8 5.551827645041E-6 1.281438364569E-5 -4.62556316843E-4 -8.30231250046E-4 -3.52162621585E-7 9.99174567666E-11 3.79225601854E-11          .2249494          .2492422
  QC1LPE639           MULT                          .6400002          .0000000         4.1954784       136.5213513        -6.3986060      -213.2956400          .2253346          .2492541 -3.16377202722E-6 4.703098973363E-4 -1.21588864442E-5 -5.16579908278E-8 5.692171377572E-6 1.318450083831E-5 -4.70283670622E-4 -7.15263529060E-4          .0000000 2.565893170116E-6 6.017429392958E-5          .2253346          .2492541
  QC1LPE641           MULT                          .6400002          .0000000         4.1954784       136.5213513        -6.3985993      -213.2958576          .2253346          .2492541 -3.16377166394E-6 4.703098974117E-4 -1.21588808660E-5 -5.09086630948E-8 5.692171195664E-6 1.316196418607E-5 -4.70283670623E-4 -7.15264429942E-4          .0000000 2.829299392438E-6 7.208349496640E-5          .2253346          .2492541
  QC1LE645            MULT                          .6400002          .0100000         4.1954784       136.5213514        -6.3985899      -213.2961642          .2253346          .2492541 -3.16377166421E-6 4.703098974523E-4 -1.21588737685E-5 -4.98524224005E-8 5.692171195664E-6 1.315077165795E-5 -4.70283670623E-4 -7.15265585034E-4 -4.74096795770E-7 1.02455610303E-10 4.02504120594E-11          .2253346          .2492541
