   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane X = 0.5440644557659443 | optics_measurements.phase
   INFO | Phase advance beating in phase_x.tfs = 0.012322029283615428 | optics_measurements.phase
   INFO | Phase advance beating in total_phase_x.tfs = 0.015724730451306665 | optics_measurements.phase
  DEBUG | Accelerator Error Definition | optics_measurements.beta_from_phase
  DEBUG | Start creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^Q | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^S | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^MQ | optics_measurements.beta_from_phase
  DEBUG | DONE creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | No best knowledge model - using the normal one. | optics_measurements.beta_from_phase
  DEBUG | No valid combinations for BPMs: []. | optics_measurements.beta_from_phase
   INFO | Errors from Analytical N-BPM method | optics_measurements.beta_from_phase
   INFO |  - RMS beta beat: 12.010% | optics_measurements.beta_from_phase
  DEBUG | Accelerator SKekB has not get_ips method. | optics_measurements.interaction_point
   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane Y = 0.6048885952342641 | optics_measurements.phase
   INFO | Phase advance beating in phase_y.tfs = 0.14246827606342952 | optics_measurements.phase
   INFO | Phase advance beating in total_phase_y.tfs = 0.09882320221241203 | optics_measurements.phase
  DEBUG | Accelerator Error Definition | optics_measurements.beta_from_phase
  DEBUG | Start creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^Q | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^S | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^MQ | optics_measurements.beta_from_phase
  DEBUG | DONE creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | No best knowledge model - using the normal one. | optics_measurements.beta_from_phase
  DEBUG | No valid combinations for BPMs: []. | optics_measurements.beta_from_phase
   INFO | Errors from Analytical N-BPM method | optics_measurements.beta_from_phase
   INFO |  - RMS beta beat: 157.529% | optics_measurements.beta_from_phase
  DEBUG | Accelerator SKekB has not get_ips method. | optics_measurements.interaction_point
