,HER_3.sdds,HER_1.sdds,HER_2.sdds
MQC1LE,0.0,0.0,0.0
MQC2LE,0.000527784008,-0.001400544155,-0.001123171919
MQLC3LE,0.000650819571,-0.000281680072,-0.003754888587
MQLC7LE,0.02770334234,0.020485290102,0.0207132276525
MQLB1LE,0.023031534641,0.021508157628,0.022008164897
MQLB4LE,0.011581479572,0.010808382344,0.009857762646
MQLA2LE,0.010591587308,0.009494830634,0.010155141287
MQLA5LE,0.011369111981,0.010204163096,0.011189774484
MQD3E1,0.028134630072,0.02634767355,0.025929582518
MQEAE4,0.033546753759,0.031651578353,0.031562737841
MQD3E4,0.026895951891,0.0248840990953,0.024989439033
MQEAE6,0.019058704254,0.01847734598,0.017399355725
MQTATNE1,0.001311473651,-0.000511338522,-0.001246577801
MQTATNE2,0.00673516697,-0.002635695313,-0.0021366806492
MQEAE8,0.0198697557221,0.0172626506562,0.018773178449
MQD3E8,0.021433926778,0.020955271698,0.020029621623
MQEAE10,0.02042645679,0.0179390483834,0.018442758076
MQEAE11,0.008010487772,0.005720285874,0.0054667999431
MQR2NE1,0.013439979678,0.010963732791,0.008371252022
MQFRNE3,0.0161192716686,0.0116784433733,0.0118329611927
MQDRNE5,0.014276114816,0.004635976965,0.007952893153
MQEAE13,0.012899357521,0.010159278889,0.009581303027
MQD3E12,0.010518272702,0.008420940465,0.009831476919
MQEAE16,0.01142924024,0.00861705894,0.009831640041
MQD3E14,0.01543108187,0.014425039939,0.0117790300323
MQEAE18,0.017157360274,0.01507834941,0.016213145144
MQTANFE1,0.0029669874231,0.000431364955999,0.001091709605
MQD3E16,-0.005900825831,-0.006514485526,-0.009781793435
MQEAE20,-0.454711404712,-0.009886950932,-0.009541107409
MQD3E18,-0.449145019996,-0.002271024673,-0.004271710091
MQEAE22,-0.446897712301,0.001578557686,0.0015443283089
MQEAE23,0.006066380388,0.003266943392,0.003533023408
MQI6E,0.005757317568,0.00209035955,0.005200441625
MQI5E,-0.005665853227,-0.007478297788,-0.008259579979
MQI4E,-0.007052515105,-0.009668359252,-0.008759275288
MQX2RE,0.0104573403811,0.00752681035751,0.008157401254
MQM2E,0.0051351530303,0.0029867593168,0.003749761082
MQM7E,0.025417910274,0.024018698916,0.0231619982558
MQEAE25,,,
MQD3E21,0.0278852462,0.026107278006,0.0277859710299
MQEAE27,0.026080611415,0.022978795886,0.022966560718
MQD3E23,0.0196655412818,0.0196944522245,0.017016047866
MQEAE29,0.0089110812,0.006981662394,0.007410329735
MQEAE30,0.0119111549693,0.0093886895531,0.009984695845
MQTAFOE1,-0.005230274374,-0.007613559012,-0.007654547705
MQTAFOE2,-0.002207154691,-0.005114833951,-0.004990448425
MQEAE32,-0.001683946995,-0.004552839577,-0.004143340023
MQD3E29,0.010898533582,0.008817703547,0.009622701222
MQEAE35,0.001377141434,-0.001680877293,-0.001455517719
MQR2ORE,-0.006068572396,,-0.006937425387
MQDROE5,0.007687680512,-0.002125277299,0.007456840288
MQEAE37,0.00394359428,0.001489637278,0.00202048407
MQD3E31,,,
MQEAE39,-0.010087247254,-0.013721485191,-0.012556077272
MQD3E33,-0.011896299838,-0.014989381474,-0.0153470567794
MQEAE41,-0.014585268929,-0.017138113533,-0.016721705194
MQTAOTE1,-0.009357543531,-0.012302177377,-0.011664584073
MQTAOTE2,-0.0095531990141,-0.011520122688,-0.011327427593
MQEAE44,-0.015835470351,-0.018192345174,-0.017933611929
MQEAE45,-0.0208391007445,-0.0226031896344,-0.0216224313701
MQD3E40,-0.0051671174822,-0.0077155749319,-0.009883174383
MQLA2RE,0.002037841467,-0.000960342219999,-3.41902109986e-05
MQLB8RE,0.002438258798,-0.001579592255,0.000757872333001
MQLB1RE,-0.04845209921,-0.053377601258,-0.0493710221264
MQLC7RE,-0.050745276563,-0.050304009485,-0.048157609422
MQLC3RE,0.00129946353,-0.001023707857,-0.001510742042
MQC2RE,0.001604965658,-0.000674967514001,-0.001077249642
MQC1RE,0.000705677793997,-0.001168909489,0.000610223216997
