,HER_3.sdds,HER_1.sdds,HER_2.sdds
MQC1LE,0.0,0.0,0.0
MQC2LE,0.000462326002,-0.001507448527,-0.00113962971
MQLC3LE,0.000649750219,-0.000407741552,-0.003851860256
MQLC7LE,0.027594119663,0.020346041382,0.0203906440682
MQLB1LE,0.023046399494,0.021499167732,0.021888364828
MQLB4LE,0.01152071977,0.010710851285,0.009732596791
MQLA2LE,0.010525548044,0.009389593551,0.010003639786
MQLA5LE,0.011144100187,0.010475504731,0.010996345299
MQD3E1,-0.427957467234,-0.429755380878,-0.430176442741
MQEAE4,0.033529512696,0.031535928611,0.031354467676
MQD3E4,0.0266454507722,0.0248310969656,0.025090346178
MQEAE6,0.019042719066,0.018387195445,0.017353167469
MQTATNE1,0.001215115449,-0.000495533467,-0.001318742446
MQTATNE2,0.006645890016,-0.002837420887,-0.0023102229963
MQEAE8,0.0198404939196,0.0171028192249,0.018642466203
MQD3E8,0.021338455816,0.020786239698,0.019849685273
MQEAE10,0.0203512516539,0.0178945493847,0.018397302483
MQEAE11,-0.447908967097,-0.450383382476,-0.45070308829
MQR2NE1,-0.442257083121,-0.445330431216,-0.447607331041
MQFRNE3,-0.439767955851,-0.444127529157,-0.444504237683
MQDRNE5,-0.441762715933,-0.451202379789,-0.448178055575
MQEAE13,-0.442875469861,-0.445854427956,-0.446617227771
MQD3E12,-0.445394942077,-0.44716958518,-0.446356419971
MQEAE16,-0.444465580304,-0.447445912062,-0.446328785627
MQD3E14,-0.440596383879,-0.441663822138,-0.444212345136
MQEAE18,-0.438769694886,-0.44093410362,-0.439916048914
MQTANFE1,-0.452891448445,-0.455552896418,-0.455056676261
MQD3E16,-0.461627486555,-0.462605771397,-0.466140269208
MQEAE20,-0.454811388061,-0.46584357087,-0.465758327107
MQD3E18,-0.449170521608,-0.458242394496,-0.460279089523
MQEAE22,-0.446905558293,-0.454486584315,-0.454693050431
MQEAE23,-0.449813109354,-0.45264164259,-0.45247861629
MQI6E,-0.450221158477,-0.453819314664,-0.450856681876
MQI5E,-0.461733423301,-0.463598740069,-0.464405758272
MQI4E,-0.463017022928,-0.465748089722,-0.464859658126
MQX2RE,-0.445403254916,-0.448359079328,-0.447686224502
MQM2E,-0.450753036156,-0.45305577501,-0.452243104665
MQM7E,-0.430147254341,-0.431949055556,-0.432973015425
MQEAE25,,,
MQD3E21,0.027863917712,0.025819530283,0.02770978662
MQEAE27,0.026131667202,0.022856706951,0.022723221666
MQD3E23,0.0198161694058,0.0194031250472,0.016976515057
MQEAE29,0.008832849996,0.006928162641,0.007328653112
MQEAE30,0.0118657588631,0.0092825795881,0.009816493093
MQTAFOE1,-0.005361244543,-0.007659723083,-0.007654618075
MQTAFOE2,-0.002309172249,-0.005240407229,-0.004949246285
MQEAE32,-0.001725937345,-0.00464589463,-0.004317439605
MQD3E29,0.010926712646,0.008635037624,0.009628540091
MQEAE35,0.001313428329,-0.001802990772,-0.001659920005
MQR2ORE,-0.00622157466,,
MQDROE5,0.008713490706,-0.003298750089,0.010622889097
MQEAE37,0.00381476862,0.001382557561,0.002017651433
MQD3E31,,,
MQEAE39,-0.010095929762,-0.013796816157,-0.012663537585
MQD3E33,-0.01190071134,-0.015161979304,-0.0154972316754
MQEAE41,-0.01462187927,-0.017316622137,-0.01686647475
MQTAOTE1,-0.009379876362,-0.012416329666,-0.011785652557
MQTAOTE2,-0.009671506858,-0.011585546734,-0.011411620294
MQEAE44,-0.015913077875,-0.018289083902,-0.018013079044
MQEAE45,-0.0207968051599,-0.0227360769072,-0.0217495560981
MQD3E40,0.450929127112,0.448079848438,0.445455052994
MQLA2RE,0.457897204438,0.454953128978,0.456158590853
MQLB8RE,0.458349229395,0.454209066667,0.456687852126
MQLB1RE,0.407281239417,0.40259972383,0.406166703029
MQLC7RE,0.405129366679,0.405544915292,0.407538308842
MQLC3RE,0.4572392752,0.454906824197,0.454507254731
MQC2RE,0.457496966817,0.455229678526,0.455053207937
MQC1RE,0.456448633554,0.454535533514,0.456892327047
