,HER_3.sdds,HER_1.sdds,HER_2.sdds
MQC1LE,0.0,0.0,0.0
MQC2LE,0.0016611215,-0.0678128560923,-0.021388858904
MQLC3LE,,,
MQLC7LE,0.006760134325,0.0098131168908,-0.011376969869
MQLB1LE,-0.039424103836,0.0506869724788,0.037398878227
MQLB4LE,-0.025684033665,,
MQLA2LE,-0.00287897981758,0.0192127040038,
MQLA5LE,-0.139892426332,-0.139786498964,-0.179589303427
MQD3E1,-0.410487185955,0.489674866575,0.435423811231
MQEAE4,-0.0258815546136,0.0039492727588,-0.088393330263
MQD3E4,-0.135203733676,-0.0769782133212,
MQEAE6,0.0070302073373,0.182809901876,
MQTATNE1,0.120871074599,-0.0540984418704,
MQTATNE2,-0.075655964284,0.0302500221108,0.020442419026
MQEAE8,0.097197049853,0.0641228369708,0.088054582009
MQD3E8,-0.060539327701,-0.0643466449052,-0.095983966752
MQEAE10,-0.073783139486,-0.122034594904,-0.088665798793
MQEAE11,-0.408670788977,,
MQR2NE1,,,
MQFRNE3,,,
MQDRNE5,,,0.441705161651
MQEAE13,-0.294149577695,,
MQD3E12,0.167517784339,0.42071484687,0.416373399893
MQEAE16,0.411465301402,0.495308717144,0.483050539222
MQD3E14,-0.360418724373,-0.469048791059,
MQEAE18,-0.413969319887,-0.490422993708,-0.22038602763
MQTANFE1,-0.430240715506,0.485798573905,-0.378514668982
MQD3E16,-0.433241032889,-0.430527525135,-0.448251784951
MQEAE20,-0.401709892345,-0.419001570051,-0.391999518839
MQD3E18,0.475361553292,0.468590604886,0.496292221243
MQEAE22,0.48237131151,-0.371294760381,-0.481451489834
MQEAE23,-0.46120349496,0.22701217776,
MQI6E,-0.322435097564,-0.422109191859,-0.438858159992
MQI5E,-0.48117195867,-0.499726818737,0.4864702289
MQI4E,-0.481909670433,0.485496751728,-0.486942804389
MQX2RE,-0.431972460057,-0.471413276954,0.493761335784
MQM2E,-0.379782055647,-0.336119303182,-0.282102454389
MQM7E,-0.398438971876,0.271971270515,-0.478243091862
MQEAE25,,,
MQD3E21,0.0141020483056,-0.0018747626252,-0.418608561438
MQEAE27,-0.040973187411,0.171915392957,
MQD3E23,0.003840899557,0.0084961829918,0.162351890877
MQEAE29,0.057766920779,-0.318057889387,-0.114357863677
MQEAE30,0.032092272384,,0.453216290704
MQTAFOE1,-0.300025326681,-0.433662319221,-0.079050038213
MQTAFOE2,-0.030521596271,-0.361187275369,0.048893746736
MQEAE32,-0.242887104893,-0.0190957102032,-0.015812630893
MQD3E29,-0.398677173208,-0.0939953393312,0.085396289838
MQEAE35,-0.053132834356,,0.031096842151
MQR2ORE,,,
MQDROE5,-0.029012449892,-0.0318068761632,0.483496985222
MQEAE37,0.0515756991416,,
MQD3E31,,-0.102599772391,
MQEAE39,,-0.134760461156,
MQD3E33,-0.060409564419,-0.153504127161,-0.175425037184
MQEAE41,0.061473580485,0.0279983750718,0.117797296924
MQTAOTE1,-0.014558565662,0.0070543407738,0.08002320363
MQTAOTE2,0.491166427179,-0.128682641303,0.088561050143
MQEAE44,0.136614477799,0.0138922625308,0.141183685529
MQEAE45,-0.084379284529,-0.122108856731,-0.431678672377
MQD3E40,,-0.0897587222812,
MQLA2RE,,,
MQLB8RE,,,
MQLB1RE,0.373744181757,0.396927716988,0.390057917012
MQLC7RE,0.359463254601,0.358595341234,0.348282277384
MQLC3RE,0.442589503716,-0.49292628053,0.32796321334
MQC2RE,0.382143146035,0.375758164091,0.422960171948
MQC1RE,0.390132013955,0.388353770235,0.388137388431
