   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane X = 0.5439536427006577 | optics_measurements.phase
   INFO | Phase advance beating in phase_x.tfs = 0.012226623036144049 | optics_measurements.phase
   INFO | Phase advance beating in total_phase_x.tfs = 0.015365186932170746 | optics_measurements.phase
  DEBUG | Accelerator Error Definition | optics_measurements.beta_from_phase
  DEBUG | Start creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^Q | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^S | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^MQ | optics_measurements.beta_from_phase
  DEBUG | DONE creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | No best knowledge model - using the normal one. | optics_measurements.beta_from_phase
  DEBUG | No valid combinations for BPMs: []. | optics_measurements.beta_from_phase
   INFO | Errors from Analytical N-BPM method | optics_measurements.beta_from_phase
   INFO |  - RMS beta beat: 10.535% | optics_measurements.beta_from_phase
  DEBUG | Accelerator SKekB has not get_ips method. | optics_measurements.interaction_point
   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane Y = 0.6052603916246064 | optics_measurements.phase
   INFO | Phase advance beating in phase_y.tfs = 0.22445390605688914 | optics_measurements.phase
   INFO | Phase advance beating in total_phase_y.tfs = 0.1802681631010847 | optics_measurements.phase
  DEBUG | Accelerator Error Definition | optics_measurements.beta_from_phase
  DEBUG | Start creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^Q | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^S | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^MQ | optics_measurements.beta_from_phase
  DEBUG | DONE creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | No best knowledge model - using the normal one. | optics_measurements.beta_from_phase
  DEBUG | No valid combinations for BPMs: []. | optics_measurements.beta_from_phase
   INFO | Errors from Analytical N-BPM method | optics_measurements.beta_from_phase
   INFO |  - RMS beta beat: 122.342% | optics_measurements.beta_from_phase
  DEBUG | Accelerator SKekB has not get_ips method. | optics_measurements.interaction_point
