   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane X = 0.5439833748681451 | optics_measurements.phase
   INFO | Phase advance beating in phase_x.tfs = 0.27899639783410274 | optics_measurements.phase
   INFO | Phase advance beating in total_phase_x.tfs = 0.30281333671754906 | optics_measurements.phase
  DEBUG | Accelerator Error Definition | optics_measurements.beta_from_phase
  DEBUG | Start creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^Q | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^S | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^MQ | optics_measurements.beta_from_phase
  DEBUG | DONE creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | No best knowledge model - using the normal one. | optics_measurements.beta_from_phase
  DEBUG | No valid combinations for BPMs: []. | optics_measurements.beta_from_phase
   INFO | Errors from Analytical N-BPM method | optics_measurements.beta_from_phase
   INFO |  - RMS beta beat: 19.574% | optics_measurements.beta_from_phase
  DEBUG | Accelerator SKekB has not get_ips method. | optics_measurements.interaction_point
   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane Y = 0.6050340289065637 | optics_measurements.phase
   INFO | Phase advance beating in phase_y.tfs = 0.26853503041575116 | optics_measurements.phase
   INFO | Phase advance beating in total_phase_y.tfs = 0.235569913990858 | optics_measurements.phase
  DEBUG | Accelerator Error Definition | optics_measurements.beta_from_phase
  DEBUG | Start creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^Q | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^S | optics_measurements.beta_from_phase
  DEBUG | creating uncertainty information for RegEx ^MQ | optics_measurements.beta_from_phase
  DEBUG | DONE creating uncertainty information | optics_measurements.beta_from_phase
  DEBUG | No best knowledge model - using the normal one. | optics_measurements.beta_from_phase
  DEBUG | No valid combinations for BPMs: []. | optics_measurements.beta_from_phase
   INFO | Errors from Analytical N-BPM method | optics_measurements.beta_from_phase
   INFO |  - RMS beta beat: 142.876% | optics_measurements.beta_from_phase
  DEBUG | Accelerator SKekB has not get_ips method. | optics_measurements.interaction_point
   INFO | Start of RDT analysis | optics_measurements.rdt
   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane X = 0.5439833748681451 | optics_measurements.phase
   INFO | Average phase advance between BPM pairs: 0.24996980110187153 | optics_measurements.rdt
   INFO | Calculating phase advances | optics_measurements.phase
   INFO | Measured tune in plane Y = 0.6050340289065637 | optics_measurements.phase
   INFO | Average phase advance between BPM pairs: 0.26604629562452964 | optics_measurements.rdt
   INFO | Average phase advance between BPM pairs: 0.2260640416176463 | optics_measurements.rdt
   INFO | Average phase advance between BPM pairs: 0.26604629562452964 | optics_measurements.rdt
